raw_name,normalized_name
Red Radish color,redradishcolor
Red chokeberry열매,redchokeberry열매
Red grape과즙농축분말,redgrape과즙농축분말
Red grape농축과즙,redgrape농축과즙
Red grape농축액,redgrape농축액
Red grape발효농축액,redgrape발효농축액
Red grape분말,redgrape분말
Red grape열매,redgrape열매
Red grape주스,redgrape주스
Red grape착즙액,redgrape착즙액
Red grape청징농축액,redgrape청징농축액
Red grape추출분말,redgrape추출분말
Rhizopus oligosporous,rhizopusoligosporous
Roasted onion flavor,roastedonionflavor
RoastedBarley11807100,roastedbarley11807100
Rum Flavor 11809400,rumflavor11809400
S-1,s-1
S-500,s-500
S.P,sp
S.S.A,ssa
SANFOOD Oil-Soluble,sanfoodoil-soluble
SE-5001,se-5001
SJ-D,sj-d
SMP8812,smp8812
SODIUM CHONDROITIN SULFATE,sodiumchondroitinsulfate
SODIUM SILICATE,sodiumsilicate
SOUR CREAM FLAVOUR,sourcreamflavour
SS-50,ss-50
ST,st
STEVIOSIDE 스테비오사이드,stevioside스테비오사이드
SW-1,sw-1
Saccharomyces cerevisiae,saccharomycescerevisiae
Safflower yellow color,saffloweryellowcolor
Savory stew,savorystew
Schizochytrium추출유지,schizochytrium추출유지
Schizosaccharomyces pombe,schizosaccharomycespombe
Scotched rice base oil,scotchedricebaseoil
Sedum arboroseum잎,sedumarboroseum잎
SiO2,sio2
Silver lime꽃,silverlime꽃
Silver scabbardfish,silverscabbardfish
Sockeye salmon,sockeyesalmon
Soup Flavor,soupflavor
Southern mountain cranberry열매,southernmountaincranberry열매
Spun Sugar Key Base,spunsugarkeybase
Spun Sugar Key Base			&lt,spunsugarkeybaselt
